message_id,node_id,scenario_id,course_id,day_index,time_slot,message_type,content,cta_label,cta_action,ab_variant,variant_note,enabled
S_01_D00_1_M01,s01,S_01,,0,即時,text,"はじめまして！バリリンガルです🌴

1つだけ聞かせてください。

「英語が話せたら、何をしたいですか？」

旅行、海外移住、キャリアアップ、自由な働き方——
その夢を、バリで叶えた方がたくさんいます。

あなたに合った情報をお届けするために、30秒のアンケートにご協力ください😊",,,all,,true
S_01_D00_1_M02,s01,S_01,,0,即時,cta,📋 30秒アンケートに答える（無料）,📋 30秒アンケートに答える（無料）,,all,,true
S_01_D01_2_M01,s01,S_01,,1,12:00,text,"バリ島は、実は「英語が一番伸びやすい環境」の1つです。

理由はシンプルで——授業以外でも英語を使う場面があふれているから。
カフェ、ビーチ、ジム、毎日の生活すべてが英語の練習になります。

あなたに合ったプランをご提案するために、アンケートだけ教えてください👇",,,all,,true
S_01_D01_2_M02,s01,S_01,,1,12:00,cta,📋 アンケート（まだの方）,📋 アンケート（まだの方）,,all,,true
S_01_D03_3_M01,s01,S_01,,3,20:00,text,"バリの1日、少しだけお見せします。

朝8時　静かなビーチを歩きながら予習。
午前中　マンツーマンレッスン。発音・会話・文法を2人で集中的に。
ランチ　チャングーのカフェで留学仲間と英語だけで話す。
夕方　プールサイドで自習。聞こえるのはバリの波の音。

こんな環境で英語を学びたいと思ったら、アンケートに答えてみてください。あなたに合ったプランをご提案します。",,,all,,true
S_01_D03_3_M02,s01,S_01,,3,20:00,cta,▶ バリリンガルのコースを見る,▶ バリリンガルのコースを見る,,all,,true
S_01_D03_3_M03,s01,S_01,,3,20:00,system,⚙ 条件付きアクション（Day3送信後に評価）: [アンケート_回答済]がない場合 → S_01停止 + フェーズ99 + S_05開始,,,all,,true
S_01_D05_4_M01,s01,S_01,,5,12:00,text,"最後に1つだけお願いがあります🙏

「英語、話せるようになりたいな」という気持ちが少しでもあれば——アンケートに答えてみてください。

目標・英語レベル・ライフスタイルに合わせた情報だけをお届けします。関係ない情報はお送りしません。

たった4問、30秒です。",,,all,,true
S_01_D05_4_M02,s01,S_01,,5,12:00,cta,📋 最後のお願い：アンケートに答える,📋 最後のお願い：アンケートに答える,,all,,true
S_01_D05_4_M03,s01,S_01,,5,12:00,system,⚙ 完了アクション: フェーズ99 + メニュー_05,,,all,,true
