rank,pref_code,pref_name,value,unit,note,good_point,caution_point
1,沖縄,沖縄県,100,点,人気リゾート,青の洞窟シュノーケルが3500円で体験できる,島時間がガチで15分遅れがデフォ
2,北海道,北海道,91,点,グルメ＆自然,回転寿司ですらネタが肉厚で旨い,信号のない直線道路で眠気が致命的
3,京都府,京都府,88,点,歴史と文化の街,鴨川沿いの川床で食べる湯豆腐が沁みる,よろしおすなぁが褒めてない場合がある
4,東京,東京都,43,点,エンタメの中心,深夜3時でもラーメン屋が選び放題,ワンルーム6畳で家賃10万消える
5,大阪,大阪府,32,点,食い倒れの街,551の豚まんを新幹線で食べる幸せ,おばちゃんに飴渡されたら断れない空気
6,石川,石川県,32,点,金沢の魅力,近江町市場の海鮮丼が朝から贅沢すぎる,冬の雷が日常すぎて誰も驚かない
7,福岡,福岡県,29,点,博多グルメ,屋台のラーメンが替え玉込み700円台,西鉄バス路線が複雑すぎて地元民も迷う
8,兵庫,兵庫県,27,点,神戸＆姫路城,明石焼きをダシで食べると人生変わる,神戸と姫路と淡路で帰属意識がバラバラ
9,千葉,千葉県,25,点,テーマパーク,マザー牧場のソフトクリームが濃厚すぎる,TDLが千葉なのに触れると怒られる
10,長野,長野県,24,点,山岳リゾート,標高1500mで食べるおやきが格別,冬の朝マイナス15度で車のドアが凍結する
11,広島,広島県,24,点,世界遺産の島,焼きたてのもみじ饅頭はカリふわで別物,お好み焼きを広島焼きと言うと空気が凍る
12,奈良,奈良県,23,点,古都の風情,大仏の鼻の穴くぐりが大人でも盛り上がる,鹿がせんべい持ってると本気で襲ってくる
13,長崎,長崎県,21,点,異国情緒,ちゃんぽんと皿うどんのハシゴが至福,坂が多すぎて自転車という概念が存在しない
14,静岡,静岡県,21,点,富士山の麓,さわやかのハンバーグは並ぶ価値がある,静岡おでんの黒いダシに初見はビビる
15,神奈川,神奈川県,20,点,横浜＆鎌倉,江ノ電から見える海が毎回エモい,湘南ナンバーへの執着が県外民には謎
16,山梨,山梨県,19,点,富士五湖,ほうとうの野菜ゴロゴロ感が胃に優しい,盆地の夏が38度で逃げ場がない
17,三重,三重県,19,点,伊勢志摩,伊勢うどんの柔らかさが疲れた体に染みる,赤福の賞味期限が短すぎてお土産が時間勝負
18,大分,大分県,17,点,温泉天国,別府で100円で入れる地元の共同温泉がある,温泉の硫黄で銀アクセが真っ黒になる
19,愛知,愛知県,16,点,名古屋メシ,モーニングでトーストにゆで卵と小倉が付く,味噌文化が深すぎてカツもおでんも全部味噌
20,宮崎,宮崎県,16,点,南国リゾート,チキン南蛮発祥の店のタルタルが暴力的に旨い,日向時間がゆるすぎてバスの時刻表が参考値
21,香川,香川県,15,点,うどん県,本場の讃岐うどんが1玉180円で天国,うどん屋多すぎて逆に選べない
