rank,pref_code,pref_name,value,unit,note
1,佐賀,佐賀県,5.87,件/千人,交通事故発生率ワースト
2,香川,香川県,5.52,件/千人,
3,静岡,静岡県,5.21,件/千人,
4,群馬,群馬県,5.18,件/千人,
5,福岡,福岡県,5.12,件/千人,
6,宮崎,宮崎県,4.98,件/千人,
7,愛知,愛知県,4.91,件/千人,
8,大分,大分県,4.85,件/千人,
9,岡山,岡山県,4.78,件/千人,
10,三重,三重県,4.72,件/千人,
11,岐阜,岐阜県,4.65,件/千人,
12,石川,石川県,4.58,件/千人,
13,熊本,熊本県,4.51,件/千人,
14,栃木,栃木県,4.45,件/千人,
15,福井,福井県,4.38,件/千人,
16,山梨,山梨県,4.32,件/千人,
17,茨城,茨城県,4.25,件/千人,
18,富山,富山県,4.19,件/千人,
19,長崎,長崎県,4.12,件/千人,
20,和歌山,和歌山県,4.05,件/千人,
21,徳島,徳島県,3.98,件/千人,
22,奈良,奈良県,3.92,件/千人,
23,滋賀,滋賀県,3.85,件/千人,
24,兵庫,兵庫県,3.78,件/千人,
25,愛媛,愛媛県,3.72,件/千人,
26,山口,山口県,3.65,件/千人,
27,鹿児島,鹿児島県,3.58,件/千人,
28,長野,長野県,3.52,件/千人,
29,宮城,宮城県,3.45,件/千人,
30,千葉,千葉県,3.38,件/千人,
31,埼玉,埼玉県,3.32,件/千人,
32,大阪,大阪府,3.25,件/千人,
33,広島,広島県,3.18,件/千人,
34,福島,福島県,3.12,件/千人,
35,神奈川,神奈川県,3.05,件/千人,
36,新潟,新潟県,2.98,件/千人,
37,高知,高知県,2.92,件/千人,
38,山形,山形県,2.85,件/千人,
39,北海道,北海道,2.78,件/千人,
40,沖縄,沖縄県,2.72,件/千人,
41,京都,京都府,2.65,件/千人,
42,秋田,秋田県,2.58,件/千人,
43,青森,青森県,2.52,件/千人,
44,岩手,岩手県,2.45,件/千人,
45,島根,島根県,2.38,件/千人,
46,鳥取,鳥取県,2.32,件/千人,
47,東京,東京都,2.25,件/千人,交通事故発生率ベスト
