message_id,node_id,scenario_id,course_id,day_index,time_slot,message_type,content,cta_label,cta_action,ab_variant,variant_note,enabled
S_01_D00_1_M01,s01,S_01,,0,即時,text,"はじめまして！バリリンガルです🌴

突然ですが、1つだけ聞かせてください。

「英語が話せたら、何をしたいですか？」

旅行、海外移住、キャリアアップ、自由な働き方——
バリに来た方たちは、みんなそれを叶えています。

あなたの目標に合わせた情報をお届けするために、30秒のアンケートにご回答ください😊",,,all,,true
S_01_D00_1_M02,s01,S_01,,0,即時,cta,📋 30秒アンケートに答える（無料）,📋 30秒アンケートに答える（無料）,,all,,true
S_01_D01_2_M01,s01,S_01,,1,12:00,text,"昨日、バリリンガルに登録してくれましたよね😊

バリ島って、実は「英語が一番上達しやすい場所」の1つなんです。

理由は単純で——授業以外でも英語を使う場面がありすぎるから。
カフェ、ビーチ、ジム、シェアハウス、すべてが英語の練習場になります。

あなたにぴったりのプランを探すために、まずアンケートだけ教えてください👇",,,all,,true
S_01_D01_2_M02,s01,S_01,,1,12:00,cta,📋 アンケート（まだの方）,📋 アンケート（まだの方）,,all,,true
S_01_D03_3_M01,s01,S_01,,3,20:00,text,"📸 ちょっとだけバリの日常を見せます。

朝8時——静かなビーチを歩きながら、今日の授業の予習。
午前中——マンツーマンレッスン。講師と2人きりで、発音・会話・文法を徹底的に。
ランチ——カフェで同期の留学生たちと英語だけで話す。
夕方——プールサイドで自習。BGMはバリの波の音。

「こんな環境で英語を学びたい」と思った方、ぜひアンケートに答えてください。あなたに合ったプランをご提案します。",,,all,,true
S_01_D03_3_M02,s01,S_01,,3,20:00,cta,▶ バリリンガルのコースを見る,▶ バリリンガルのコースを見る,,all,,true
S_01_D03_3_M03,s01,S_01,,3,20:00,system,⚙ 条件付きアクション（Day3送信後に評価）: [アンケート_回答済]がない場合 → S_01停止 + フェーズ99 + S_05開始,,,all,,true
S_01_D05_4_M01,s01,S_01,,5,12:00,text,"最後に1つだけお願いがあります🙏

「英語、話せるようになりたいな」という気持ちが少しでもあるなら——
アンケートに答えてみてください。

答えた方には、あなたの目標・英語レベル・ライフスタイルに合わせた情報だけをお届けします。関係ない情報はお送りしません。

たった4問です。所要時間30秒。",,,all,,true
S_01_D05_4_M02,s01,S_01,,5,12:00,cta,📋 最後のお願い：アンケートに答える,📋 最後のお願い：アンケートに答える,,all,,true
S_01_D05_4_M03,s01,S_01,,5,12:00,system,⚙ 完了アクション: フェーズ99 + メニュー_05,,,all,,true
S_02_D00_1_M01,s02,S_02,,0,即時,text,"プランを選んでくれてありがとうございます！✨

実は、同じプランを選んだ方たちには共通点があります。
「英語で人生を変えたい」という気持ちです。

今日から4日間、あなたが選んだプランに特化した情報だけをお届けします。
まずはコース詳細から——",,,all,,true
S_02_D00_1_M02,s02,S_02,,0,即時,cta,▶ コース詳細をチェックする,▶ コース詳細をチェックする,,all,,true
S_02_D01_2_M01,s02,S_02,,1,07:00,text,"おはようございます☀️

バリリンガルで過ごす「ある1日」をご紹介します。

8:30　海沿いを歩いて学校へ。東南アジアの朝は気持ちいい。
9:00　マンツーマンレッスン開始。前日の復習から入るので置いてけぼりにならない。
11:00　小グループ（最大3名）で会話練習。失敗しても笑って直せる環境。
13:00　チャングーのカフェでランチ＆自習。Wi-Fiも電源も完備。
16:00　授業終了。ビーチ、プール、ヨガ——好きに過ごす。
19:00　他の留学生と夕飯。全員、英語で話す。これが一番の練習になる。

毎日これを繰り返すと、3週間で「口が動く」感覚が変わります。",,,all,,true
S_02_D02_3_M01,s02,S_02,,2,07:00,text,"今日は卒業生の話をさせてください。

——Aさん（32歳・会社員）
「TOEIC 420点。英語コンプレックスをずっと持っていました。バリに3週間行って、帰国後4ヶ月でTOEIC 610点。それより大きかったのは、英語を話すことへの恐怖がなくなったこと。今は外国人のクライアントを担当しています。」

——Bさん（27歳・フリーランス）
「ワーホリ前に2ヶ月滞在。現地で就活して3社から内定をもらいました。バリリンガルで模擬面接を繰り返したのが決め手だったと思います。」

お2人に共通するのは、バリで「英語を使う勇気」を手に入れたことです。",,,all,,true
S_02_D02_3_M02,s02,S_02,,2,07:00,cta,▶ 他の卒業生の声を読む,▶ 他の卒業生の声を読む,,all,,true
S_02_D03_4_M01,s02,S_02,,3,07:00,text,"よくある心配ごとに、正直にお答えします。

❓「英語ゼロでも大丈夫？」
→ 大丈夫です。入学者の約40%が英語ほぼゼロからのスタートです。レベル別に授業を組むので、置いてけぼりにはなりません。

❓「仕事しながら行けるの？」
→ 可能です。週3日をリモートワークにあてながら受講している方、有給を使って2週間集中した方、育休中に来た方もいます。

❓「実際いくらかかるの？」
→ 授業料・宿泊・平日の食事・空港送迎がセット。航空券（3〜7万）と生活費（日割り2,000〜4,000円）を足した総額は、想像より現実的です。",,,all,,true
S_02_D03_4_M02,s02,S_02,,3,07:00,cta,▶ 費用シミュレーターを使う（無料）,▶ 費用シミュレーターを使う（無料）,,all,,true
S_02_D04_5_M01,s02,S_02,,4,20:00,text,"4日間、読んでいただきありがとうございます。

正直に言います。
バリリンガルは「安い英会話スクール」ではありません。

ただ——「本気で変わりたい人」の英語力と人生を変えてきた実績があります。

今月、残り◯席です。
「迷っているうちに枠が埋まった」という連絡を毎月数件いただいています。

無料見積りは5分で届きます。申し込みより先に、まず金額を確認してみてください。",,,all,,true
S_02_D04_5_M02,s02,S_02,,4,20:00,cta,💰 無料見積りを依頼する（5分で届く）,💰 無料見積りを依頼する（5分で届く）,,all,,true
S_02_D04_5_M03,s02,S_02,,4,20:00,cta,💬 30分の無料相談を予約する,💬 30分の無料相談を予約する,,all,,true
S_02_D04_5_M04,s02,S_02,,4,20:00,system,⚙ 完了アクション: フェーズ99 + S_05開始 + メニュー_05切替,,,all,,true
